EpochIndex,Subject,Session,TrialInFile,Class,Label,File
1,1,1,1,LH,0,B0101T.gdf
2,1,1,2,RH,1,B0101T.gdf
3,1,1,3,LH,0,B0101T.gdf
4,1,1,4,RH,1,B0101T.gdf
5,1,1,5,RH,1,B0101T.gdf
6,1,1,6,RH,1,B0101T.gdf
7,1,1,7,RH,1,B0101T.gdf
8,1,1,9,LH,0,B0101T.gdf
9,1,1,10,RH,1,B0101T.gdf
10,1,1,11,RH,1,B0101T.gdf
11,1,1,12,LH,0,B0101T.gdf
12,1,1,13,RH,1,B0101T.gdf
13,1,1,14,RH,1,B0101T.gdf
14,1,1,16,LH,0,B0101T.gdf
15,1,1,17,LH,0,B0101T.gdf
16,1,1,18,LH,0,B0101T.gdf
17,1,1,20,LH,0,B0101T.gdf
18,1,1,21,LH,0,B0101T.gdf
19,1,1,22,LH,0,B0101T.gdf
20,1,1,23,LH,0,B0101T.gdf
21,1,1,24,RH,1,B0101T.gdf
22,1,1,25,LH,0,B0101T.gdf
23,1,1,26,LH,0,B0101T.gdf
24,1,1,27,LH,0,B0101T.gdf
25,1,1,29,RH,1,B0101T.gdf
26,1,1,30,LH,0,B0101T.gdf
27,1,1,31,LH,0,B0101T.gdf
28,1,1,32,RH,1,B0101T.gdf
29,1,1,33,RH,1,B0101T.gdf
30,1,1,35,RH,1,B0101T.gdf
31,1,1,36,LH,0,B0101T.gdf
32,1,1,37,RH,1,B0101T.gdf
33,1,1,38,RH,1,B0101T.gdf
34,1,1,39,LH,0,B0101T.gdf
35,1,1,40,RH,1,B0101T.gdf
36,1,1,41,LH,0,B0101T.gdf
37,1,1,42,LH,0,B0101T.gdf
38,1,1,43,LH,0,B0101T.gdf
39,1,1,44,LH,0,B0101T.gdf
40,1,1,45,RH,1,B0101T.gdf
41,1,1,46,RH,1,B0101T.gdf
42,1,1,47,RH,1,B0101T.gdf
43,1,1,48,RH,1,B0101T.gdf
44,1,1,49,LH,0,B0101T.gdf
45,1,1,50,LH,0,B0101T.gdf
46,1,1,51,RH,1,B0101T.gdf
47,1,1,52,RH,1,B0101T.gdf
48,1,1,53,LH,0,B0101T.gdf
49,1,1,54,RH,1,B0101T.gdf
50,1,1,56,RH,1,B0101T.gdf
51,1,1,57,LH,0,B0101T.gdf
52,1,1,58,LH,0,B0101T.gdf
53,1,1,59,RH,1,B0101T.gdf
54,1,1,63,RH,1,B0101T.gdf
55,1,1,64,RH,1,B0101T.gdf
56,1,1,65,LH,0,B0101T.gdf
57,1,1,66,RH,1,B0101T.gdf
58,1,1,67,RH,1,B0101T.gdf
59,1,1,68,LH,0,B0101T.gdf
60,1,1,69,LH,0,B0101T.gdf
61,1,1,71,RH,1,B0101T.gdf
62,1,1,73,RH,1,B0101T.gdf
63,1,1,74,RH,1,B0101T.gdf
64,1,1,75,RH,1,B0101T.gdf
65,1,1,76,LH,0,B0101T.gdf
66,1,1,77,LH,0,B0101T.gdf
67,1,1,78,LH,0,B0101T.gdf
68,1,1,79,LH,0,B0101T.gdf
69,1,1,81,LH,0,B0101T.gdf
70,1,1,82,LH,0,B0101T.gdf
71,1,1,83,RH,1,B0101T.gdf
72,1,1,84,LH,0,B0101T.gdf
73,1,1,86,RH,1,B0101T.gdf
74,1,1,87,LH,0,B0101T.gdf
75,1,1,88,LH,0,B0101T.gdf
76,1,1,89,RH,1,B0101T.gdf
77,1,1,90,RH,1,B0101T.gdf
78,1,1,91,RH,1,B0101T.gdf
79,1,1,93,RH,1,B0101T.gdf
80,1,1,94,LH,0,B0101T.gdf
81,1,1,95,LH,0,B0101T.gdf
82,1,1,96,LH,0,B0101T.gdf
83,1,1,97,RH,1,B0101T.gdf
84,1,1,98,LH,0,B0101T.gdf
85,1,1,99,RH,1,B0101T.gdf
86,1,1,102,RH,1,B0101T.gdf
87,1,1,104,RH,1,B0101T.gdf
88,1,1,105,LH,0,B0101T.gdf
89,1,1,106,LH,0,B0101T.gdf
90,1,1,107,RH,1,B0101T.gdf
91,1,1,108,LH,0,B0101T.gdf
92,1,1,110,LH,0,B0101T.gdf
93,1,1,111,RH,1,B0101T.gdf
94,1,1,112,LH,0,B0101T.gdf
95,1,1,113,RH,1,B0101T.gdf
96,1,1,114,LH,0,B0101T.gdf
97,1,1,115,RH,1,B0101T.gdf
98,1,1,116,LH,0,B0101T.gdf
99,1,1,117,RH,1,B0101T.gdf
100,1,1,118,LH,0,B0101T.gdf
101,1,1,119,RH,1,B0101T.gdf
102,1,1,120,RH,1,B0101T.gdf
103,1,2,2,RH,1,B0102T.gdf
104,1,2,3,RH,1,B0102T.gdf
105,1,2,5,RH,1,B0102T.gdf
106,1,2,6,LH,0,B0102T.gdf
107,1,2,7,RH,1,B0102T.gdf
108,1,2,11,RH,1,B0102T.gdf
109,1,2,13,RH,1,B0102T.gdf
110,1,2,14,LH,0,B0102T.gdf
111,1,2,15,LH,0,B0102T.gdf
112,1,2,16,LH,0,B0102T.gdf
113,1,2,17,LH,0,B0102T.gdf
114,1,2,18,RH,1,B0102T.gdf
115,1,2,19,LH,0,B0102T.gdf
116,1,2,20,RH,1,B0102T.gdf
117,1,2,21,LH,0,B0102T.gdf
118,1,2,22,RH,1,B0102T.gdf
119,1,2,23,LH,0,B0102T.gdf
120,1,2,24,RH,1,B0102T.gdf
121,1,2,25,LH,0,B0102T.gdf
122,1,2,26,LH,0,B0102T.gdf
123,1,2,29,LH,0,B0102T.gdf
124,1,2,30,RH,1,B0102T.gdf
125,1,2,32,RH,1,B0102T.gdf
126,1,2,33,LH,0,B0102T.gdf
127,1,2,34,RH,1,B0102T.gdf
128,1,2,35,RH,1,B0102T.gdf
129,1,2,36,LH,0,B0102T.gdf
130,1,2,37,RH,1,B0102T.gdf
131,1,2,38,LH,0,B0102T.gdf
132,1,2,40,RH,1,B0102T.gdf
133,1,2,41,LH,0,B0102T.gdf
134,1,2,42,LH,0,B0102T.gdf
